train_id,branding_priority_level,advertisement_type,client_name,contract_value,contract_start_date,contract_end_date,advertisement_status,placement_type,visibility_score,branding_requirements,completion_percentage,revenue_generated,maintenance_impact,deployment_priority
R-001,8,exterior_wrap,Metro Corporation,150000,2024-01-01,2024-12-31,active,full_body,95,high_visibility,100,150000,low,high
R-002,7,interior_panels,City Bank,120000,2024-02-01,2024-11-30,active,interior,90,medium_visibility,95,114000,low,high
R-003,6,window_stickers,Tech Solutions,80000,2024-01-15,2024-10-15,active,partial,85,medium_visibility,90,72000,medium,medium
R-004,9,full_branding,Global Corp,200000,2024-01-01,2024-12-31,active,full_body,98,high_visibility,100,200000,low,high
R-005,5,door_ads,Local Business,60000,2024-03-01,2024-09-30,active,partial,80,low_visibility,85,51000,medium,medium
R-006,8,exterior_wrap,National Bank,140000,2024-02-15,2024-11-15,active,full_body,92,high_visibility,95,133000,low,high
R-007,7,interior_panels,Retail Chain,110000,2024-01-20,2024-10-20,active,interior,88,medium_visibility,90,99000,low,high
R-008,4,window_stickers,Small Business,40000,2024-04-01,2024-08-31,active,partial,75,low_visibility,80,32000,high,low
R-009,6,door_ads,Regional Corp,70000,2024-02-01,2024-09-30,active,partial,82,medium_visibility,85,59500,medium,medium
R-010,9,full_branding,International Ltd,180000,2024-01-01,2024-12-31,active,full_body,96,high_visibility,100,180000,low,high
R-011,5,interior_panels,Local Services,55000,2024-03-15,2024-09-15,active,interior,78,low_visibility,85,46750,medium,medium
R-012,8,exterior_wrap,Finance Corp,160000,2024-01-10,2024-12-10,active,full_body,94,high_visibility,95,152000,low,high
R-013,7,window_stickers,Healthcare Inc,90000,2024-02-20,2024-10-20,active,partial,86,medium_visibility,90,81000,medium,medium
R-014,3,door_ads,Community Org,30000,2024-05-01,2024-07-31,active,partial,70,low_visibility,75,22500,high,low
R-015,6,interior_panels,Education Group,75000,2024-01-25,2024-09-25,active,interior,84,medium_visibility,85,63750,medium,medium
R-016,8,exterior_wrap,Technology Corp,170000,2024-01-05,2024-12-05,active,full_body,93,high_visibility,95,161500,low,high
R-017,4,window_stickers,Local Restaurant,35000,2024-04-15,2024-08-15,active,partial,72,low_visibility,80,28000,high,low
R-018,7,door_ads,Manufacturing Co,100000,2024-02-10,2024-10-10,active,partial,87,medium_visibility,90,90000,medium,medium
R-019,9,full_branding,Energy Company,190000,2024-01-01,2024-12-31,active,full_body,97,high_visibility,100,190000,low,high
R-020,6,interior_panels,Transportation Ltd,85000,2024-01-30,2024-09-30,active,interior,83,medium_visibility,85,72250,medium,medium
R-021,5,window_stickers,Real Estate Co,65000,2024-03-01,2024-09-30,active,partial,79,low_visibility,85,55250,medium,medium
R-022,8,exterior_wrap,Pharmaceutical Inc,155000,2024-01-15,2024-12-15,active,full_body,91,high_visibility,95,147250,low,high
R-023,7,interior_panels,Automotive Group,105000,2024-02-05,2024-10-05,active,interior,89,medium_visibility,90,94500,low,high
R-024,4,door_ads,Local Shop,25000,2024-05-15,2024-07-15,active,partial,68,low_visibility,75,18750,high,low
R-025,6,window_stickers,Consulting Firm,80000,2024-01-20,2024-09-20,active,partial,81,medium_visibility,85,68000,medium,medium
