train_id,last_cleaned_date,cleaning_frequency,interior_condition,exterior_condition,cleaning_crew_assigned,cleaning_duration_hours,cleaning_score,cleaning_priority,special_requirements,cleaning_equipment_used,cleaning_chemicals_used,next_cleaning_due,cleaning_cost,cleaning_quality_rating
R-001,2024-01-15,weekly,95,92,Alpha Team,4,94,high,deep_cleaning,steam_cleaner,eco_friendly,2024-01-22,250,excellent
R-002,2024-01-14,weekly,98,95,Beta Team,3,97,high,standard,pressure_washer,standard,2024-01-21,200,excellent
R-003,2024-01-10,bi_weekly,85,88,Gamma Team,5,86,medium,heavy_duty,industrial_cleaner,heavy_duty,2024-01-24,350,good
R-004,2024-01-16,weekly,96,94,Alpha Team,3,95,high,standard,steam_cleaner,eco_friendly,2024-01-23,220,excellent
R-005,2024-01-12,bi_weekly,88,90,Delta Team,4,89,medium,deep_cleaning,pressure_washer,standard,2024-01-26,280,good
R-006,2024-01-17,weekly,97,96,Beta Team,3,97,high,standard,steam_cleaner,eco_friendly,2024-01-24,210,excellent
R-007,2024-01-13,weekly,93,91,Alpha Team,4,92,high,deep_cleaning,industrial_cleaner,eco_friendly,2024-01-20,240,excellent
R-008,2024-01-11,bi_weekly,82,85,Epsilon Team,5,83,low,heavy_duty,pressure_washer,heavy_duty,2024-01-25,320,good
R-009,2024-01-18,weekly,95,93,Gamma Team,3,94,high,standard,steam_cleaner,standard,2024-01-25,200,excellent
R-010,2024-01-19,weekly,98,97,Beta Team,3,98,high,standard,steam_cleaner,eco_friendly,2024-01-26,190,excellent
R-011,2024-01-09,bi_weekly,87,89,Delta Team,4,88,medium,deep_cleaning,industrial_cleaner,standard,2024-01-23,270,good
R-012,2024-01-20,weekly,96,95,Alpha Team,3,96,high,standard,pressure_washer,eco_friendly,2024-01-27,205,excellent
R-013,2024-01-14,weekly,94,92,Gamma Team,4,93,high,deep_cleaning,steam_cleaner,standard,2024-01-21,230,excellent
R-014,2024-01-08,bi_weekly,84,86,Epsilon Team,5,85,low,heavy_duty,industrial_cleaner,heavy_duty,2024-01-22,330,good
R-015,2024-01-21,weekly,97,96,Beta Team,3,97,high,standard,steam_cleaner,eco_friendly,2024-01-28,195,excellent
R-016,2024-01-12,weekly,91,89,Alpha Team,4,90,high,deep_cleaning,pressure_washer,standard,2024-01-19,250,excellent
R-017,2024-01-10,bi_weekly,86,88,Delta Team,5,87,medium,heavy_duty,industrial_cleaner,heavy_duty,2024-01-24,300,good
R-018,2024-01-22,weekly,95,94,Gamma Team,3,95,high,standard,steam_cleaner,eco_friendly,2024-01-29,200,excellent
R-019,2024-01-15,weekly,93,91,Beta Team,4,92,high,deep_cleaning,pressure_washer,standard,2024-01-22,240,excellent
R-020,2024-01-23,weekly,98,97,Alpha Team,3,98,high,standard,steam_cleaner,eco_friendly,2024-01-30,185,excellent
R-021,2024-01-11,bi_weekly,89,87,Delta Team,4,88,medium,deep_cleaning,industrial_cleaner,standard,2024-01-25,260,good
R-022,2024-01-24,weekly,96,95,Gamma Team,3,96,high,standard,steam_cleaner,eco_friendly,2024-01-31,195,excellent
R-023,2024-01-13,weekly,92,90,Beta Team,4,91,high,deep_cleaning,pressure_washer,standard,2024-01-20,245,excellent
R-024,2024-01-09,bi_weekly,83,85,Epsilon Team,5,84,low,heavy_duty,industrial_cleaner,heavy_duty,2024-01-23,310,good
R-025,2024-01-25,weekly,94,93,Alpha Team,3,94,high,standard,steam_cleaner,eco_friendly,2024-02-01,200,excellent
