train_id,stabling_bay,bay_type,bay_length_meters,bay_width_meters,power_supply_available,water_supply_available,maintenance_access,deployment_time_minutes,shunting_distance_meters,shunting_complexity,access_road_condition,lighting_condition,security_level,environmental_factors,operational_efficiency
R-001,A1,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-002,A2,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-003,B1,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-004,A3,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-005,B2,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-006,A4,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-007,B3,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-008,C1,compact,180,12,yes,no,fair,15,250,high,fair,fair,medium,challenging,75
R-009,A5,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-010,A6,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-011,B4,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-012,A7,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-013,B5,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-014,C2,compact,180,12,yes,no,fair,15,250,high,fair,fair,medium,challenging,75
R-015,A8,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-016,B6,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-017,C3,compact,180,12,yes,no,fair,15,250,high,fair,fair,medium,challenging,75
R-018,A9,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-019,B7,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-020,A10,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-021,B8,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-022,A11,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
R-023,B9,extended,220,18,yes,yes,good,12,200,medium,good,good,high,good,88
R-024,C4,compact,180,12,yes,no,fair,15,250,high,fair,fair,medium,challenging,75
R-025,A12,standard,200,15,yes,yes,excellent,8,150,low,good,excellent,high,optimal,95
